                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 2.4289,                 3.9801,                 2.6218,                0.51944,                 0.0623,                0.04918,                0.02062,                 2.4089,                 3.9364,                 2.7014,              0.0093466,              0.0093466,              0.0093466
                     68,                 2.4181,                 3.9691,                 2.5877,                0.56134,                0.05305,                0.05164,                 0.0235,                 2.4382,                 3.8753,                 2.6889,              0.0093367,              0.0093367,              0.0093367
                     69,                 2.4116,                  4.008,                 2.5782,                0.50643,                0.06712,                 0.0556,                0.02636,                 2.3891,                 3.9937,                 2.6459,              0.0093268,              0.0093268,              0.0093268
                     70,                 2.3777,                 4.0542,                 2.5802,                0.51288,                 0.0697,                0.05601,                0.02707,                 2.3397,                 3.6247,                 2.6088,              0.0093169,              0.0093169,              0.0093169
                     71,                 2.4042,                 3.9742,                 2.5813,                0.55434,                0.04661,                 0.0544,                0.02547,                 2.3709,                 3.6028,                 2.6392,               0.009307,               0.009307,               0.009307
                     72,                 2.3716,                 3.9842,                 2.5284,                 0.5852,                0.05132,                0.05116,                0.02266,                 2.3288,                 3.6374,                 2.6322,              0.0092971,              0.0092971,              0.0092971
                     73,                 2.2907,                 4.0385,                 2.5496,                0.65392,                0.04359,                0.05506,                0.02519,                 2.3353,                 3.6879,                 2.6462,              0.0092872,              0.0092872,              0.0092872
                     74,                 2.3561,                 3.9106,                 2.5271,                0.56694,                0.06534,                0.07323,                0.03373,                 2.2736,                  3.588,                 2.5908,              0.0092773,              0.0092773,              0.0092773
                     75,                 2.3615,                 3.8796,                 2.5118,                0.49247,                0.08189,                0.07437,                0.03351,                 2.2588,                  3.521,                 2.5675,              0.0092674,              0.0092674,              0.0092674
                     76,                 2.3041,                 3.8886,                   2.48,                0.53615,                0.06683,                0.06423,                0.02925,                 2.2683,                 3.5445,                  2.569,              0.0092575,              0.0092575,              0.0092575
                     77,                 2.2689,                 3.8115,                 2.4642,                0.63485,                0.07073,                0.08422,                0.03663,                 2.2504,                 3.4389,                 2.5627,              0.0092476,              0.0092476,              0.0092476
                     78,                 2.2435,                 3.7994,                 2.4787,                0.48647,                0.07877,                0.07955,                0.03684,                 2.2556,                 3.4128,                 2.5768,              0.0092377,              0.0092377,              0.0092377
                     79,                 2.2315,                 3.9031,                 2.4651,                 0.5694,                0.08963,                0.08589,                 0.0389,                 2.2299,                 3.3954,                 2.5593,              0.0092278,              0.0092278,              0.0092278
                     80,                 2.2031,                 3.6855,                 2.4051,                0.64324,                0.08986,                0.09849,                0.04453,                 2.2255,                  3.356,                 2.5308,              0.0092179,              0.0092179,              0.0092179
